Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,California,NewYork,NorthCarolina
19,Food Scientists and Technologists,4,1.62,1.5,3.38,4,2,3.12,2.75,4.12,3.88,3,2.12,3,1.62,1.62,2.88,4,3.88,2,2,3,2,2,1,2,91820,98190,71380
19,Forensic Science Technicians,3.88,2,1.5,3.25,4,2.88,2.75,2.75,4,4,3.25,1.88,3,2.12,2.38,3,4,4,2,2,1,2,2,1,2,99390,80470,56290
19,Forest and Conservation Technicians,3.62,2.5,1.62,2.88,3.62,3.12,2.75,2.5,3.75,3.75,2.88,2.75,3.12,2.88,3,3.25,3.62,3.12,1,2,1,2,2,2,2,63140,58760,49860
19,Foresters,3.88,2.25,2,3,3.88,2,2.88,2.5,4,3.88,2.88,2.25,3,2.12,2.62,3.12,3.88,3.75,2,2,3,3,2,2,2,101700,80550,75220
19,Geographers,4,1.5,1,3.25,4.12,1.25,3,2.75,4,4,3.12,1,2.88,1,1,3,4.12,4.12,2,2,2,2,1,1,1, , , 
19,"Geological Technicians, Except Hydrologic Technicians",3.25,1.88,1.75,2.88,3.38,2.5,3,2.38,3.75,3.38,3,2.25,3,1.88,2.25,2.62,3.88,3.38,2,2,1,2,1,2,2,78300,60000,43930
19,"Geoscientists, Except Hydrologists and Geographers",4,1.75,1.12,3.38,4.12,1.75,3.75,2.38,4,4,3,1.88,3,1.75,1.75,3,4.12,4,2,2,2,2,1,1,1,119100,95560,89840
19,Historians,3.5,1.5,1,3.12,3.88,1.88,2,2.25,4,4,2.12,1,3,1.5,1,2,4.75,4.25,2,2,1,2,2,1,1,88730,60860,93800
19,Hydrologists,3.88,1.88,1.5,3.5,3.88,2.12,3.88,2.88,4,4,3.25,1.25,2.88,2.12,2.12,3,4,4,2,2,2,2,1,1,2,119540,90960, 
19,Industrial-Organizational Psychologists,4.12,1,1,3.88,4.12,1,3.88,2.62,4.25,4.38,2.75,1,3.12,1,1,2.62,4.38,4.25,2,2,3,3,2,2,1,137540, , 
19,Materials Scientists,4,1,1,3.38,4,1.62,3.25,2.5,4,4,3,1.75,2.88,1,1,3,4,4,2,2,2,3,1,1,2,130220,133200,98290
19,"Medical Scientists, Except Epidemiologists",4,1.25,1,3.25,4.12,2.25,3.38,3,4,4.12,3,1,3.12,1,1,2.5,4,4.12,2,2,2,2,1,2,1,134880,106120,123600
19,Microbiologists,4,1.5,1.38,3.75,4.12,2.62,2.88,2.75,4,4,3,2.12,3.5,1.5,2,3,4.25,4.12,2,2,2,2,1,1,2,115910,94660,92260
19,Nuclear Monitoring Technicians,4,2,1,2.88,4,2.75,3.12,2.62,4,4,3.62,2.25,3.75,2.12,2.12,2.88,3.88,3.75,2,2,2,2,1,1,3, ,119750,103850
19,Occupational Health and Safety Specialists,4,1.5,1.5,3.12,4,2,3.12,2.75,4,4,3.12,2,3.12,1.88,2,3,3.88,3.88,2,2,2,3,2,1,2,105410,92510,86000
19,Occupational Health and Safety Technicians,3.88,1.88,1.88,3,3.88,1.88,2.75,2.5,3.88,3.88,3,1.88,3,2,2,2.25,3.88,3.75,2,2,3,3,2,1,2,67020,65280,61940
19,Physicists,4.12,1,1,4.12,4.12,1,4.75,2.88,4.12,4.12,3,1,3.25,1,1,3.62,4.25,4,2,2,2,3,2,2,2,187720,174180,152640
19,Political Scientists,3.75,1,1,3.12,4,1,3,2.88,4.12,4.12,2.12,1,2.88,1,1,2.12,4.62,4,2,2,2,2,2,1,1,132240,100490, 
19,Quality Control Analysts,3.62,2,1.25,2.88,3.38,2.88,3.12,2.75,3.88,3.75,3.12,2,3.12,2,2.12,2.75,4,3.88,2,2,1,1,1,1,3,75780,64990,70530
19,Range Managers,3.75,2,1,3.25,3.75,2.12,3,2.25,3.88,4,2.62,1.75,3,2,2,2.88,4,3.88,2,2,3,2,2,1,1,87840,82150,69170
19,Remote Sensing Scientists and Technologists,4.25,1.12,1,3.62,4.25,1.88,3.88,2.62,4,4,3,1.38,3,1,1.12,3.12,4,4,2,2,2,2,1,1,1,142070,120040,113730
19,School Psychologists,4.12,1,1,3.12,4,1,2.88,2.75,4.38,4.38,2.88,1,3,1,1,2.5,4.12,4,2,2,3,3,2,2,1,117630,103580,69480
19,Social Science Research Assistants,3.5,1.38,1,3,3.25,1.25,3.12,2.38,4,4,2.62,1.12,3.12,1,1,2.62,4,3.75,2,2,1,1,1,1,1,62740,64270,58590
19,Sociologists,4,1,1,3.25,4.12,1,3,2.5,4.25,4.25,2.12,1,2.75,1,1,2,4.12,4.12,2,2,2,2,2,1,1,118570,112070,109380
19,Soil and Plant Scientists,4,2,1.25,3.5,4,2,3.12,2.88,4,4,3,1.62,3,2.12,2.12,2.88,4,4,2,2,2,2,1,1,1,91660,79030,74040
19,Survey Researchers,4,1,1,3,4.12,1.5,4,2.88,4,4,2.75,1,3,1,1,2.12,4.12,4.12,2,2,2,2,1,1,1,86950,84340,88110
19,Transportation Planners,4,1,1,4,4,1.12,3.12,2.88,4,4,2.88,1,3,1,1,3.88,4,4,2,2,3,2,1,2,1,105150,102750,93890
19,Urban and Regional Planners,3.88,1,1,3.62,3.88,1,3,2.25,4.12,4.12,2.62,1,2.88,1,1,3.12,4,4,2,2,3,3,2,2,1,111520,100040,79280
19,Zoologists and Wildlife Biologists,4,2,2,3.38,4,2,3,2.25,4,4,3,2,3.25,2,2,2.88,4,4,2,2,3,3,2,2,1,91460, ,69550
27,Actors,2.88,2,1.5,3,2.88,2,1,3.88,4,4.12,2,1,3,2,2,2.62,3.88,2.88,1,1,2,1,2,1,1, , , 
