Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,NorthCarolina
41,Advertising Sales Agents,3.12,1,1,3.25,3.12,1,2.75,2.38,4,4.12,2.75,1.38,3,1,1,2.88,3.88,3.5,1,2,3,3,2,1,1,49990,68550
41,Cashiers,2.62,2,1.88,2,2.62,2.5,2.38,2.62,3.5,3.5,2.38,1.5,2.88,2.12,2.12,1.88,3.12,2.38,1,1,1,1,1,1,1,26170,27990
41,Counter and Rental Clerks,2.88,2,1.38,2.62,2.88,2,2.62,2.38,4,3.88,2.75,2,3,2,2,2,3.25,3,1,2,2,2,2,1,1,34010,41500
41,Demonstrators and Product Promoters,3.12,2.12,1.5,2.75,3,2,2.12,2.62,3.88,3.88,2.75,1.62,3,2.12,2.25,2.88,3,3,1,1,1,3,1,1,2,29970,43590
41,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2.88,1,1,2.88,2.75,1.25,2.12,2.25,3.88,4,1.5,1,2.5,1.25,1.38,2,3,3.12,1,1,3,3,2,1,1, ,32380
41,First-Line Supervisors of Non-Retail Sales Workers,3.75,1.25,1.12,3.5,3.75,1.5,3.12,2.62,4,4,2.62,1.25,2.75,1.25,1,2.75,3.75,3.5,2,2,3,3,2,2,1,74840,103900
41,First-Line Supervisors of Retail Sales Workers,3.12,2.12,1.5,3,3,2.38,2.62,2.75,3.88,3.88,2.62,1.38,3,2,2,2.38,3,3,1,2,3,3,2,2,1,47890,51570
41,Gambling Change Persons and Booth Cashiers,3,2,1.12,2.25,3,2.88,3.12,2.25,3.5,3.38,3,2,2.88,2,2,2.12,3.12,2.88,1,1,2,2,1,1,2, ,26190
41,Insurance Sales Agents,3.25,1,1,2.88,3.12,1,3.12,2.25,4,4,2.62,1,2.75,1,1,2,4,3.62,1,2,3,3,2,2,1,91730,76080
41,Models,2,2,1.25,2.25,2.25,1.5,1.62,1.75,2.88,2.75,1.38,1.25,2.62,2.25,1.88,2.12,2.25,2.38,1,1,1,1,1,1,1, , 
